% Model:              trial.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 7 2021, 17:19
% Dimension:          3
% Nodes:              2000
% Expressions:        1
% Description:        浓度
% Length unit:        nm
% X                       Y                        Z                        c (mol/m^3)
0                         0                        59.89999999999999        5.7628086017953792E18
1.8095                    -1.9752999999999998      59.84                    5.5497165979831327E18
-3.7729999999999997       0.33112                  59.78                    5.5826191883481129E18
3.6803                    2.8216                   59.72                    5.6692514010597284E18
-0.9324999999999999       -5.271799999999999       59.66                    5.5822008197434552E18
-3.2118                   5.049                    59.599999999999994       5.5739192180956488E18
6.3288                    -1.7012999999999998      59.53999999999999        5.4840059554233528E18
-6.2803                   -3.2617999999999996      59.48                    5.4830337905029673E18
2.5946                    7.104599999999999        59.42099999999999        5.5419393705582633E18
3.0602                    -7.4135                  59.36099999999999        5.5366034597225933E18
-7.6553                   3.5823999999999994       59.300999999999995       5.6586725240156938E18
8.4561                    2.6523999999999996       59.24099999999999        5.5647891281936036E18
-4.6401                   -8.0067                  59.18099999999999        5.5683976584358738E18
-2.0676                   9.4049                   59.120999999999995       5.5169140856327844E18
8.1729                    -5.7458                  59.06099999999999        5.553397669385087E18
-10.253                   -1.3286                  59.00099999999999        5.5865168483092808E18
6.8794                    8.1626                   58.940999999999995       5.4169942456204063E18
0.4545199999999999        -10.991                  58.88099999999999        5.5510828387290061E18
-7.9826                   8.0217                   58.82099999999999        5.4277036261905746E18
11.611999999999998        -0.5369299999999999      58.760999999999996       5.4795201015045755E18
-9.1542                   -7.639099999999999       58.701                   5.6166022174825329E18
1.6287                    12.105                   58.641                   5.4107860447345398E18
7.138299999999999         -10.26                   58.581999999999994       5.4856979557941207E18
-12.465                   2.8041                   58.52199999999999        5.4457580336513567E18
11.321                    6.487099999999999        58.461999999999996       5.4704474336972462E18
-4.0464                   -12.683999999999997      58.401999999999994       5.6210631999121234E18
-5.6931                   12.321999999999997       58.34199999999999        5.5128585818963128E18
12.756999999999998        -5.338699999999999       58.28199999999999        5.5536267021661983E18
-13.248                   -4.765                   58.221999999999994       5.4899920689571748E18
6.6640999999999995        12.679999999999998       58.16199999999999        5.4220089385669847E18
3.7125999999999997        -14.084                  58.10199999999999        5.5196319659143066E18
-12.451                   8.0058                   58.041999999999994       5.3509858706518098E18
14.818                    2.5467                   57.98199999999999        5.4253500168793641E18
-9.3467                   -12.069                  57.922                   5.5254249319406418E18
-1.279                    15.438                   57.862                   5.5101076928491479E18
11.533999999999999        -10.67                   57.802                   5.5758044503141396E18
-15.930999999999997       0.077718                 57.742999999999995       5.5163174817388646E18
11.958999999999998        10.848999999999998       57.68299999999999        5.4380168044772465E18
-1.5096999999999998       -16.289999999999996      57.62299999999999        5.4236367091157084E18
-10.016999999999998       13.198                   57.562999999999995       5.4660144896249846E18
16.505                    -3.0026                  57.50299999999999        5.4880262702662984E18
-14.371                   -9.0437                  57.44299999999999        5.5231120510364078E18
4.541299999999999         16.571                   57.382999999999996       5.5943635559407022E18
7.935499999999999         -15.463                  57.32299999999999        5.4313306338227282E18
-16.481                   6.11                     57.26299999999999        5.4739635153513206E18
16.459                    6.7004                   57.202999999999996       5.4196771331124224E18
-7.692699999999999        -16.231999999999996      57.143                   5.4000504127854172E18
-5.348099999999999        17.347                   57.083                   5.4589838016445942E18
15.823                    -9.272999999999998       57.023                   5.4864773734971863E18
-18.112                   -3.8893999999999997      56.963                   5.4695032509049139E18
10.833999999999998        15.252                   56.903999999999996       5.4854823229689313E18
2.3361                    -18.745                  56.843999999999994       5.3917886654637158E18
-14.520999999999999       12.359999999999998       56.78399999999999        5.3862531582998733E18
19.233999999999998        0.70141                  56.72399999999999        5.5260947711961324E18
-13.833999999999998       -13.633                  56.663999999999994       5.4578248656915773E18
1.0007                    19.571                   56.60399999999999        5.467113009262722E18
12.592                    -15.24                   56.54399999999999        5.5159484180813251E18
-19.748                   2.7552                   56.483999999999995       5.346598128242133E18
16.562                    11.404                   56.424                   5.4050124035444122E18
-4.5465                   -19.759                  56.364                   5.449320229775316E18
-10.075999999999999       17.784999999999997       56.304                   5.4948148837194353E18
19.6                      -6.358499999999999       56.244                   5.364638849858134E18
-18.896                   -8.6187                  56.184                   5.6268423398378701E18
8.174299999999999         19.267999999999997       56.124                   5.4590823559170028E18
7.041                     -19.88                   56.064                   5.4247802344407532E18
-18.761                   9.9771                   56.004999999999995       5.4741224611210854E18
20.724999999999998        5.355099999999999        55.94499999999999        5.4187890632759849E18
-11.75                    -18.079                  55.88499999999999        5.3615873733609923E18
-3.5738                   21.42                    55.824999999999996       5.4575938660196403E18
17.225                    -13.474999999999998      55.76499999999999        5.4789777568881019E18
-21.956                   -1.7112                  55.705                   5.3509222228464579E18
15.137                    16.203                   55.645                   5.4165962302591109E18
-0.21779                  -22.321999999999996      55.585                   5.4008532809860833E18
-15.017                   16.717                   55.525                   5.4237302329298227E18
22.512                    -2.1972                  55.465                   5.343355112780372E18
-18.201                   -13.674                  55.405                   5.3601171618904781E18
4.2105999999999995        22.521                   55.345                   5.4540902637615012E18
12.184                    -19.573                  55.285                   5.3972696181728297E18
-22.342999999999996       6.2406                   55.225                   5.3926962832546652E18
20.816999999999997        10.555                   55.16599999999999        5.2813725257740247E18
-8.2699                   -21.977                  55.105999999999995       5.3675465232128471E18
-8.7995                   21.921                   55.04599999999999        5.3364209194864128E18
21.422                    -10.28                   54.986                   5.3083043482459054E18
-22.872                   -6.9298                  54.925999999999995       5.3657158592046346E18
12.253999999999998        20.678                   54.866                   5.363244871010775E18
4.9598                    -23.658                  54.806                   5.3287918855879864E18
-19.748                   14.173999999999998       54.746                   5.4171000485610947E18
24.269                    2.9045                   54.686                   5.3089393394896374E18
-16.021                   -18.636999999999997      54.626                   5.3548536257632399E18
-0.78001                  24.696999999999996       54.566                   5.4104313483946947E18
17.35                     -17.777999999999995      54.506                   5.5113991498993244E18
-24.933                   1.3968                   54.446                   5.3743426053197722E18
19.428999999999995        15.893999999999998       54.386                   5.3544069252516383E18
-3.6083999999999996       -24.972                  54.32699999999999        5.3653692186512568E18
