% Model:              trial.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 7 2021, 17:17
% Dimension:          3
% Nodes:              2000
% Expressions:        1
% Description:        浓度
% Length unit:        nm
% X                       Y                        Z                        c (mol/m^3)
0                         0                        9.999999999999998        5.7318820421360169E18
0.30209                   -0.32975999999999994     9.989999999999998        5.7268896848578744E18
-0.6298799999999999       0.055279                 9.979999999999999        5.7226198597262991E18
0.61441                   0.47106                  9.969999999999999        5.745399319889025E18
-0.15568                  -0.88009                 9.96                     5.7050093128803369E18
-0.53619                  0.84291                  9.95                     5.7367700795474145E18
1.0566                    -0.28402999999999995     9.94                     5.7299346646794373E18
-1.0485                   -0.54453                 9.93                     5.6972877601572035E18
0.4331499999999999        1.1861                   9.92                     5.7517841609882153E18
0.51089                   -1.2377                  9.91                     5.6981415358387814E18
-1.278                    0.59806                  9.899899999999999        5.7152926774878116E18
1.4116999999999997        0.4428                   9.889899999999999        5.7317684593601485E18
-0.7746399999999999       -1.3367                  9.879899999999997        5.6761146013976146E18
-0.34517999999999993      1.5701                   9.869899999999998        5.7436575359013212E18
1.3644                    -0.95924                 9.859899999999998        5.7049512321322783E18
-1.7117                   -0.22181                 9.849899999999998        5.6849509356530319E18
1.1485                    1.3626999999999998       9.839899999999998        5.7470557500557947E18
0.075881                  -1.8349                  9.829899999999999        5.668392459741525E18
-1.3327                   1.3392                   9.8199                   5.7121925685150618E18
1.9384999999999997        -0.089637                9.8099                   5.6968734476368282E18
-1.5282                   -1.2752999999999999      9.7999                   5.6569650033872896E18
0.27191                   2.0209                   9.7899                   5.7479113815307069E18
1.1917                    -1.7127999999999999      9.7799                   5.6774914121649172E18
-2.0808999999999997       0.46813999999999995      9.7699                   5.6842463504821361E18
1.8898999999999997        1.083                    9.7599                   5.7106603969683036E18
-0.67553                  -2.1174999999999997      9.7499                   5.6417235108720599E18
-0.9504299999999999       2.0571                   9.7399                   5.7062597531463823E18
2.1296                    -0.89127                 9.7299                   5.6664570959333407E18
-2.2117                   -0.79549                 9.7199                   5.6497399040476078E18
1.1124999999999998        2.1167999999999996       9.7099                   5.7416991632031416E18
0.6198                    -2.3513                  9.699799999999998        5.6451774121383772E18
-2.0786                   1.3365                   9.689799999999998        5.6722722816246723E18
2.4739                    0.4251499999999999       9.679799999999998        5.6720935807670989E18
-1.5604                   -2.0147999999999997      9.6698                   5.6230068732616161E18
-0.21352                  2.5772                   9.6598                   5.7115112009884467E18
1.9255999999999998        -1.7813                  9.6498                   5.6451568523576637E18
-2.6595999999999997       0.012974999999999999     9.6398                   5.6495904532492063E18
1.9965999999999997        1.8112                   9.6298                   5.7010142852528691E18
-0.25204                  -2.7195                  9.6198                   5.6151713600138824E18
-1.6722999999999997       2.2034                   9.6098                   5.6660133152747182E18
2.7555                    -0.5012799999999998      9.5998                   5.637135052165418E18
-2.3992                   -1.5098                  9.5898                   5.6160944387893832E18
0.7581499999999999        2.7664                   9.5798                   5.7174347591911793E18
